year,quarter,state,period,pm2.5_measure,personal_income_per_capita,region,division
2016,1,Alabama,2016 Q1,7.596292,38849,South,East South Central
2016,2,Alabama,2016 Q2,9.191956,38941,South,East South Central
2016,3,Alabama,2016 Q3,8.421384,39004,South,East South Central
2016,4,Alabama,2016 Q4,8.758739130434781,39243,South,East South Central
2016,1,Alaska,2016 Q1,13.7576,56378,West,Pacific
2016,2,Alaska,2016 Q2,3.21684,56160,West,Pacific
2016,3,Alaska,2016 Q3,3.47976,56218,West,Pacific
2016,4,Alaska,2016 Q4,16.06688,56553,West,Pacific
2016,1,Arizona,2016 Q1,8.035993333333334,40953,West,Mountain
2016,2,Arizona,2016 Q2,7.642807142857143,41355,West,Mountain
2016,3,Arizona,2016 Q3,7.604326666666666,41720,West,Mountain
2016,4,Arizona,2016 Q4,7.897393333333333,41857,West,Mountain
2016,1,Arkansas,2016 Q1,7.2861166666666675,40542,South,West South Central
2016,2,Arkansas,2016 Q2,8.220341666666666,40797,South,West South Central
2016,3,Arkansas,2016 Q3,10.130308333333334,40915,South,West South Central
2016,4,Arkansas,2016 Q4,10.030241666666667,41214,South,West South Central
2016,1,California,2016 Q1,9.83886,55924,West,Pacific
2016,2,California,2016 Q2,7.857602777777777,56209,West,Pacific
2016,3,California,2016 Q3,10.550939999999999,56808,West,Pacific
2016,4,California,2016 Q4,11.27192676056338,57297,West,Pacific
2016,1,Colorado,2016 Q1,6.162205882352941,51906,West,Mountain
2016,2,Colorado,2016 Q2,4.681570588235294,52048,West,Mountain
2016,3,Colorado,2016 Q3,6.038075,52535,West,Mountain
2016,4,Colorado,2016 Q4,6.683691666666667,53113,West,Mountain
2016,1,Connecticut,2016 Q1,7.2772499999999996,68582,Northeast,New England
2016,2,Connecticut,2016 Q2,5.845645454545454,68683,Northeast,New England
2016,3,Connecticut,2016 Q3,6.3742,68668,Northeast,New England
2016,4,Connecticut,2016 Q4,7.081100000000001,68707,Northeast,New England
2016,1,Delaware,2016 Q1,8.5656125,48040,South,South Atlantic
2016,2,Delaware,2016 Q2,6.6804375,48564,South,South Atlantic
2016,3,Delaware,2016 Q3,7.55615,48948,South,South Atlantic
2016,4,Delaware,2016 Q4,7.4347875000000005,49344,South,South Atlantic
2016,2,District Of Columbia,2016 Q2,7.0680499999999995,78066,South,South Atlantic
2016,3,District Of Columbia,2016 Q3,8.3961,78252,South,South Atlantic
2016,4,District Of Columbia,2016 Q4,7.665299999999999,78898,South,South Atlantic
2016,1,District Of Columbia,2016 Q1,9.088433333333334,77551,South,South Atlantic
2016,1,Florida,2016 Q1,7.130839473684211,45883,South,South Atlantic
2016,2,Florida,2016 Q2,6.832831578947369,46179,South,South Atlantic
2016,3,Florida,2016 Q3,5.929471052631579,46686,South,South Atlantic
2016,4,Florida,2016 Q4,6.402272222222222,47083,South,South Atlantic
2016,1,Georgia,2016 Q1,8.1052,42753,South,South Atlantic
2016,2,Georgia,2016 Q2,9.106114814814815,42773,South,South Atlantic
2016,3,Georgia,2016 Q3,8.03367037037037,43072,South,South Atlantic
2016,4,Georgia,2016 Q4,10.23074074074074,43542,South,South Atlantic
2016,1,Hawaii,2016 Q1,,48678,West,Pacific
2016,2,Hawaii,2016 Q2,,48968,West,Pacific
2016,3,Hawaii,2016 Q3,,49298,West,Pacific
