period,state,personal_income_per_capita
2016 Q1,Alabama,38849
2016 Q2,Alabama,38941
2016 Q3,Alabama,39004
2016 Q4,Alabama,39243
2017 Q1,Alabama,39815
2017 Q2,Alabama,40101
2017 Q3,Alabama,40276
2017 Q4,Alabama,40661
2018 Q1,Alabama,41072
2018 Q2,Alabama,41310
2018 Q3,Alabama,41608
2018 Q4,Alabama,42129
2019 Q1,Alabama,42817
2019 Q2,Alabama,43150
2019 Q3,Alabama,43453
2019 Q4,Alabama,43697
2016 Q1,Alaska,56378
2016 Q2,Alaska,56160
2016 Q3,Alaska,56218
2016 Q4,Alaska,56553
2017 Q1,Alaska,56648
2017 Q2,Alaska,56805
2017 Q3,Alaska,57436
2017 Q4,Alaska,57951
2018 Q1,Alaska,58642
2018 Q2,Alaska,59093
2018 Q3,Alaska,60119
2018 Q4,Alaska,60547
2019 Q1,Alaska,60895
2019 Q2,Alaska,61207
2019 Q3,Alaska,61512
2019 Q4,Alaska,61583
2016 Q1,Arizona,40953
2016 Q2,Arizona,41355
2016 Q3,Arizona,41720
2016 Q4,Arizona,41857
2017 Q1,Arizona,42860
2017 Q2,Arizona,43208
2017 Q3,Arizona,43778
2017 Q4,Arizona,44061
2018 Q1,Arizona,44760
2018 Q2,Arizona,45082
2018 Q3,Arizona,45701
2018 Q4,Arizona,46246
2019 Q1,Arizona,47374
2019 Q2,Arizona,47882
2019 Q3,Arizona,48356
2019 Q4,Arizona,48812
2016 Q1,Arkansas,40542
2016 Q2,Arkansas,40797
2016 Q3,Arkansas,40915
2016 Q4,Arkansas,41214
2017 Q1,Arkansas,41519
2017 Q2,Arkansas,41693
2017 Q3,Arkansas,41921
2017 Q4,Arkansas,42429
2018 Q1,Arkansas,42819
2018 Q2,Arkansas,43033
2018 Q3,Arkansas,43548
2018 Q4,Arkansas,44110
2019 Q1,Arkansas,44043
2019 Q2,Arkansas,44056
2019 Q3,Arkansas,44469
2019 Q4,Arkansas,44681
2016 Q1,California,55924
2016 Q2,California,56209
2016 Q3,California,56808
2016 Q4,California,57297
2017 Q1,California,57825
2017 Q2,California,58471
2017 Q3,California,59083
2017 Q4,California,59855
2018 Q1,California,60272
2018 Q2,California,61116
2018 Q3,California,61953
2018 Q4,California,62728
2019 Q1,California,63823
2019 Q2,California,64632
2019 Q3,California,65071
2019 Q4,California,66130
2016 Q1,Colorado,51906
2016 Q2,Colorado,52048
2016 Q3,Colorado,52535
2016 Q4,Colorado,53113
2017 Q1,Colorado,54074
2017 Q2,Colorado,54856
2017 Q3,Colorado,55547
2017 Q4,Colorado,56458
2018 Q1,Colorado,57090
2018 Q2,Colorado,57888
2018 Q3,Colorado,58932
2018 Q4,Colorado,59957
2019 Q1,Colorado,61333
2019 Q2,Colorado,61807
2019 Q3,Colorado,62622
2019 Q4,Colorado,62745
2016 Q1,Connecticut,68582
2016 Q2,Connecticut,68683
2016 Q3,Connecticut,68668
2016 Q4,Connecticut,68707
2017 Q1,Connecticut,68785
2017 Q2,Connecticut,69836
2017 Q3,Connecticut,70310
2017 Q4,Connecticut,71029
2018 Q1,Connecticut,71922
2018 Q2,Connecticut,72407
2018 Q3,Connecticut,73597
2018 Q4,Connecticut,73815
2019 Q1,Connecticut,75318
2019 Q2,Connecticut,75290
2019 Q3,Connecticut,75333
2019 Q4,Connecticut,76112
2016 Q1,Delaware,48040
2016 Q2,Delaware,48564
2016 Q3,Delaware,48948
2016 Q4,Delaware,49344
2017 Q1,Delaware,49892
2017 Q2,Delaware,50007
2017 Q3,Delaware,50688
2017 Q4,Delaware,51009
2018 Q1,Delaware,51718
2018 Q2,Delaware,52278
2018 Q3,Delaware,53123
2018 Q4,Delaware,53682
2019 Q1,Delaware,53836
2019 Q2,Delaware,54172
2019 Q3,Delaware,54374
2019 Q4,Delaware,54402
2016 Q1,District Of Columbia,77551
2016 Q2,District Of Columbia,78066
2016 Q3,District Of Columbia,78252
2016 Q4,District Of Columbia,78898
2017 Q1,District Of Columbia,79121
2017 Q2,District Of Columbia,79627
2017 Q3,District Of Columbia,80373
2017 Q4,District Of Columbia,80913
2018 Q1,District Of Columbia,81381
2018 Q2,District Of Columbia,82074
2018 Q3,District Of Columbia,83448
2018 Q4,District Of Columbia,84070
2019 Q1,District Of Columbia,83766
2019 Q2,District Of Columbia,84506
2019 Q3,District Of Columbia,84938
2019 Q4,District Of Columbia,85361
2016 Q1,Florida,45883
2016 Q2,Florida,46179
2016 Q3,Florida,46686
2016 Q4,Florida,47083
2017 Q1,Florida,48333
2017 Q2,Florida,48902
2017 Q3,Florida,49256
2017 Q4,Florida,49759
2018 Q1,Florida,50499
2018 Q2,Florida,50985
2018 Q3,Florida,51875
2018 Q4,Florida,52717
2019 Q1,Florida,53833
2019 Q2,Florida,54403
2019 Q3,Florida,54702
2019 Q4,Florida,55216
2016 Q1,Georgia,42753
2016 Q2,Georgia,42773
2016 Q3,Georgia,43072
2016 Q4,Georgia,43542
2017 Q1,Georgia,44454
2017 Q2,Georgia,44752
2017 Q3,Georgia,45046
2017 Q4,Georgia,45706
2018 Q1,Georgia,46115
2018 Q2,Georgia,46543
2018 Q3,Georgia,47230
2018 Q4,Georgia,47491
2019 Q1,Georgia,48610
2019 Q2,Georgia,49015
2019 Q3,Georgia,49223
2019 Q4,Georgia,49498
2016 Q1,Hawaii,48678
2016 Q2,Hawaii,48968
2016 Q3,Hawaii,49298
2016 Q4,Hawaii,49671
2017 Q1,Hawaii,50664
2017 Q2,Hawaii,50992
2017 Q3,Hawaii,51347
2017 Q4,Hawaii,51407
2018 Q1,Hawaii,51525
2018 Q2,Hawaii,51929
2018 Q3,Hawaii,52332
2018 Q4,Hawaii,52921
2019 Q1,Hawaii,53836
2019 Q2,Hawaii,54393
2019 Q3,Hawaii,55007
2019 Q4,Hawaii,55511
