Unnamed: 0,Film,Budget,Revenue,Novel,Earnings,First Letter
0,(500) Days of Summer,7500000,60722734,0.0,53222734,(
1,10 Cloverfield Lane,15000000,108286421,0.0,93286421,1
2,12 Rounds,20000000,17280326,0.0,-2719674,1
3,12 Years a Slave,20000000,187000000,1.0,167000000,1
4,127 Hours,18000000,35692920,0.0,17692920,1
5,13 Going on 30,37000000,96455697,0.0,59455697,1
6,13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,0.0,19411370,1
7,1408,25000000,94679598,0.0,69679598,1
8,16 Blocks,55000000,65664721,0.0,10664721,1
9,17 Again,20000000,136267476,0.0,116267476,1
10,2 Fast 2 Furious,76000000,236350661,0.0,160350661,2
11,2 Guns,61000000,131940411,0.0,70940411,2
12,2012,200000000,769653595,0.0,569653595,2
13,20th Century Women,7000000,5816211,0.0,-1183789,2
14,21,35000000,69823199,0.0,34823199,2
15,21 Jump Street,42000000,201585328,0.0,159585328,2
16,22 Jump Street,50000000,188441614,0.0,138441614,2
17,27 Dresses,30000000,160259319,0.0,130259319,2
18,28 Days Later,5000000,82719885,0.0,77719885,2
19,28 Weeks Later,15000000,64238440,0.0,49238440,2
20,3 Days to Kill,28000000,52597999,0.0,24597999,3
21,30 Days of Night,30000000,75505973,0.0,45505973,3
22,30 Minutes or Less,28000000,40547440,0.0,12547440,3
23,300,65000000,422610419,0.0,357610419,3
24,42,40000000,95020213,0.0,55020213,4
25,47 Meters Down,5500000,44235023,0.0,38735023,4
26,47 Ronin,175000000,150962475,0.0,-24037525,4
27,50 First Dates,75000000,196482882,0.0,121482882,5
28,50/50,8000000,39187783,0.0,31187783,5
29,8 Mile,41000000,215000000,0.0,174000000,8
30,88 Minutes,30000000,16930884,0.0,-13069116,8
31,9,30000000,48428063,0.0,18428063,9
32,90 Minutes in Heaven,5000000,4842699,1.0,-157301,9
33,99 Homes,8000000,1411927,0.0,-6588073,9
34,A Cinderella Story,19000000,70067909,0.0,51067909,A
35,A Cure for Wellness,40000000,26559557,0.0,-13440443,A
36,A Dog's Purpose,22000000,194647323,1.0,172647323,A
37,A Good Day to Die Hard,92000000,304654182,0.0,212654182,A
38,A Good Year,35000000,42064105,1.0,7064105,A
39,A Guy Thing,20000000,17432163,0.0,-2567837,A
40,A Haunted House,2500000,60141683,0.0,57641683,A
41,A History of Violence,32000000,60740827,0.0,28740827,A
42,A Lot Like Love,30000000,42886719,0.0,12886719,A
43,A Man Apart,36000000,44350926,0.0,8350926,A
44,A Mighty Heart,16000000,18928871,0.0,2928871,A
45,A Mighty Wind,6000000,18750246,0.0,12750246,A
46,A Monster Calls,43000000,46652768,0.0,3652768,A
47,A Most Violent Year,20000000,12007070,0.0,-7992930,A
48,A Most Wanted Man,15000000,31554855,1.0,16554855,A
49,A Perfect Getaway,14000000,22852638,0.0,8852638,A
50,A Sound of Thunder,80000000,5989640,0.0,-74010360,A
51,A Thousand Words,40000000,22044277,0.0,-17955723,A
52,A Walk Among the Tombstones,28000000,53181600,1.0,25181600,A
53,A Walk in the Woods,8000000,35991087,0.0,27991087,A
54,A Walk to Remember,11000000,41227069,1.0,30227069,A
55,ATL,20000000,21170563,0.0,1170563,A
56,Abandon,25000000,10719357,0.0,-14280643,A
57,Abduction,35000000,82087155,0.0,47087155,A
58,About Schmidt,30000000,105834556,1.0,75834556,A
59,About Time,12000000,87100449,0.0,75100449,A
60,About a Boy,27000000,129000000,1.0,102000000,A
61,Abraham Lincoln: Vampire Hunter,69000000,112265139,1.0,43265139,A
62,Accepted,23000000,38505009,0.0,15505009,A
63,Act of Valor,12000000,81272766,0.0,69272766,A
64,Adaptation.,19000000,32801173,1.0,13801173,A
65,Admission,13000000,18000000,1.0,5000000,A
66,Adventureland,9500000,17164377,0.0,7664377,A
67,After Earth,130000000,243843127,0.0,113843127,A
68,After the Sunset,60000000,61347797,0.0,1347797,A
69,Against the Ropes,39000000,6614280,0.0,-32385720,A
70,Agent Cody Banks,28000000,58795814,0.0,30795814,A
71,Agent Cody Banks 2: Destination London,26000000,28818995,0.0,2818995,A
72,Akeelah and the Bee,8000000,18948425,0.0,10948425,A
73,Alex Cross,45000000,30353232,1.0,-14646768,A
74,Alexander,155000000,167298192,0.0,12298192,A
75,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,0.0,72654149,A
76,Alfie,60000000,13395939,0.0,-46604061,A
77,Alice Through the Looking Glass,170000000,299370084,1.0,129370084,A
78,Alien: Covenant,97000000,232380243,0.0,135380243,A
79,Aliens in the Attic,45000000,57881056,0.0,12881056,A
80,All About Steve,15000000,40105542,0.0,25105542,A
81,All About the Benjamins,14000000,25482931,0.0,11482931,A
82,All the King's Men,55000000,9450897,1.0,-45549103,A
